algoritmo, qtd, rdn1, rdn2, rdn3, ordem, inver
QuickSort,11600,0,1,1,95,87
Merge,11600,0,1,0,0,0
Bubble,12100,107,110,112,18,34
Insertion,12100,8,10,9,0,18
Selection,12100,27,28,27,27,28
Array,12100,0,0,1,0,0
QuickSort,12100,0,0,0,104,94
Merge,12100,0,1,1,0,0
Bubble,12600,120,118,120,18,37
Insertion,12600,9,10,9,0,19
Selection,12600,29,27,28,27,30
Array,12600,0,0,0,0,0
QuickSort,12600,1,0,0,113,106
Merge,12600,1,1,1,0,1
Bubble,13100,129,129,132,21,41
Insertion,13100,10,11,11,0,21
Selection,13100,31,32,31,29,32
Array,13100,0,1,0,0,0
QuickSort,13100,1,1,0,123,114
Merge,13100,1,1,0,0,0
Bubble,13600,143,143,140,22,44
Insertion,13600,11,11,11,0,23
Selection,13600,34,34,34,33,37
Array,13600,0,1,0,0,0
QuickSort,13600,0,0,0,138,120
Merge,13600,1,0,2,0,0
Bubble,14100,155,157,153,23,46
Insertion,14100,12,12,13,0,24
Selection,14100,36,36,36,35,38
Array,14100,0,1,0,0,0
QuickSort,14100,1,1,1,140,127
Merge,14100,1,1,0,0,1
Bubble,14600,166,164,163,25,50
Insertion,14600,13,13,13,0,26
Selection,14600,39,39,39,38,42
Array,14600,0,1,0,0,0
QuickSort,14600,0,0,1,152,136
Merge,14600,0,2,1,0,0
Bubble,15100,180,179,176,26,52
Insertion,15100,13,14,14,0,29
Selection,15100,42,41,41,40,43
Array,15100,1,0,0,0,0
QuickSort,15100,1,0,0,160,145
Merge,15100,2,1,0,0,0
Bubble,15600,196,197,196,28,57
Insertion,15600,14,14,15,0,29
Selection,15600,41,44,45,44,48
Array,15600,0,0,0,0,0
QuickSort,15600,0,1,0,175,159
Merge,15600,1,0,1,1,0
Bubble,16100,204,208,208,31,62
Insertion,16100,16,16,14,0,32
Selection,16100,47,46,46,46,50
Array,16100,1,0,0,0,0
QuickSort,16100,0,1,0,183,170
Merge,16100,1,2,1,0,0
Bubble,16600,221,223,217,33,65
Insertion,16600,17,17,17,0,34
Selection,16600,49,50,49,49,53
Array,16600,0,1,0,0,0
QuickSort,16600,1,1,1,192,180
Merge,16600,0,1,1,0,0
Bubble,17100,236,235,240,35,70
Insertion,17100,19,17,18,0,37
Selection,17100,53,53,53,52,56
Array,17100,0,1,1,0,0
QuickSort,17100,0,1,0,209,190
Merge,17100,0,2,0,0,0
Bubble,17600,253,251,254,37,74
Insertion,17600,19,20,19,0,39
Selection,17600,56,56,56,54,60
Array,17600,1,0,0,0,0
QuickSort,17600,0,1,0,216,203
Merge,17600,2,1,1,0,1
Bubble,100,0,0,0,0,0
Insertion,100,0,0,0,0,0
Selection,100,0,0,0,0,0
